stage,model,model__bootstrap,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,roc_auc
CV,RandomForest,True,5.0,,1,2,500,0.8906600000000001,0.5246529940520345,0.5210335267075864,0.05611062416000935,0.9931953639440596,0.10047421630920202,0.6310832220444329
CV,RandomForest,True,5.0,,3,2,500,0.8906600000000001,0.5246529940520345,0.5210335267075864,0.05611062416000935,0.9931953639440596,0.10047421630920202,0.6310163118351386
CV,RandomForest,True,5.0,,5,2,500,0.89068,0.5247444017302795,0.5219265028504626,0.0562934395164993,0.9931953639440596,0.10078802723339006,0.6310910516849719
CV,RandomForest,True,9.0,sqrt,1,2,500,0.8890399999999999,0.5364905061195893,0.4627744807792,0.08517526065796834,0.9878057515812102,0.14383375821598002,0.6891087372784078
CV,RandomForest,True,9.0,sqrt,3,2,500,0.88914,0.5360655735499674,0.46527326829079885,0.08407836851902865,0.9880527785809061,0.142385228646022,0.6891920614501613
CV,RandomForest,True,9.0,sqrt,5,2,500,0.88934,0.5365779874411022,0.4687488347857115,0.08499094270950723,0.9881650321726971,0.14386186920386917,0.68929626836596
CV,RandomForest,True,9.0,log2,1,2,500,0.8859999999999999,0.5400739581082609,0.41182599867836495,0.09723790204769896,0.9829100141688227,0.15728587475356604,0.6833473132437593
CV,RandomForest,True,9.0,log2,3,2,500,0.8854599999999999,0.5415336789391683,0.4072806106066988,0.1012578364345162,0.9818095214438204,0.16188113490172862,0.6832065143144836
CV,RandomForest,True,9.0,log2,5,2,500,0.88652,0.5440528586567831,0.42549371283174164,0.10564490412628451,0.9824608131872814,0.16909088248850618,0.6852979238770984
CV,RandomForest,True,9.0,0.3,1,2,500,0.8922399999999999,0.5257012928998198,0.5789792697546362,0.05647792441962385,0.994924661380016,0.10287768135851041,0.6861489223234875
CV,RandomForest,True,9.0,0.3,3,2,500,0.8922399999999999,0.525220553573642,0.5820115282998637,0.05538170009933803,0.9950594070479457,0.1011028111599039,0.6863836543688245
CV,RandomForest,True,9.0,0.3,5,2,500,0.89222,0.5256100509153303,0.5793353916053487,0.05629544297246083,0.9949246588581999,0.10257629156199577,0.6870780677871792
CV,RandomForest,True,9.0,0.5,1,2,500,0.89216,0.5242137427322868,0.583893272800889,0.05318841668544907,0.9952390687791246,0.09741943445640913,0.6882217869143554
CV,RandomForest,True,9.0,0.5,3,2,500,0.8921600000000002,0.5241336443949158,0.5834623743974344,0.05300576828362258,0.9952615205062092,0.09710765096493183,0.6886956613109139
CV,RandomForest,True,9.0,0.5,5,2,500,0.89236,0.5249676266227186,0.5930642297215811,0.05465127344669555,0.9952839797987416,0.0999927898972485,0.6887143245643561
CV,RandomForest,True,9.0,,1,2,500,0.89178,0.5255227083782144,0.555653880521022,0.056659738048133027,0.9943856787082958,0.10272058825687247,0.6788907625293946
CV,RandomForest,True,9.0,,3,2,500,0.8917400000000001,0.5251798696061856,0.5557856156071382,0.0559291444408271,0.9944305947715444,0.10152731413965232,0.6789960823489114
CV,RandomForest,True,9.0,,5,2,500,0.8917999999999999,0.5258549865835386,0.5588830215961982,0.057391667292746654,0.9943183058743305,0.10398369700028298,0.6790951576533939
CV,RandomForest,True,15.0,sqrt,1,2,500,0.8917400000000001,0.5182067222294464,0.5871836694454434,0.04002905011144224,0.9963843943474504,0.07483090259735115,0.6991734257284639
CV,RandomForest,True,15.0,sqrt,3,2,500,0.8919599999999999,0.5197732935247771,0.5945858606175932,0.04331939261893433,0.99622719443062,0.08064366755677098,0.7017366319128693
CV,RandomForest,True,15.0,sqrt,5,2,500,0.8922399999999999,0.5220944034898223,0.6016778286634922,0.04825357074286477,0.9959352362367799,0.08923143235448693,0.7023524795474865
CV,RandomForest,True,15.0,log2,1,2,500,0.8916000000000001,0.5187688824909318,0.5644994016278468,0.041490237326054114,0.9960475276558094,0.07723013451905603,0.6891827926643728
CV,RandomForest,True,15.0,log2,3,2,500,0.8913,0.5200432577695068,0.5424339283691272,0.04478007896955581,0.9953064365694578,0.08267952902797579,0.6928582685369312
CV,RandomForest,True,15.0,log2,5,2,500,0.89176,0.5228671594841587,0.5611794572586571,0.0506300034225706,0.995104315545747,0.0928245580286858,0.6951148824366614
CV,RandomForest,True,15.0,0.3,1,2,500,0.8917999999999999,0.5219274723056814,0.5707167252283478,0.04843621914469126,0.9954187254666713,0.08923628733915398,0.7114965378950169
CV,RandomForest,True,15.0,0.3,3,2,500,0.89222,0.5236060833271386,0.5880719832937747,0.051726060788192973,0.9954861058660842,0.09505753216711431,0.7120792774283551
CV,RandomForest,True,15.0,0.3,5,2,500,0.8922399999999999,0.5240983874698175,0.5883896883993807,0.05282295292713264,0.9953738220125024,0.09688897422576495,0.7122457443218287
CV,RandomForest,True,15.0,0.5,1,2,500,0.8916600000000001,0.5241733192840894,0.554303159293367,0.05373636189092852,0.9946102766772503,0.09792749955659756,0.7115120624441225
CV,RandomForest,True,15.0,0.5,3,2,500,0.89192,0.5249608086359878,0.5675160619072487,0.055199051697511534,0.994722565574464,0.10053433024291476,0.7124112828799254
CV,RandomForest,True,15.0,0.5,5,2,500,0.8918800000000001,0.5249386010363586,0.5649640328063665,0.05519955256150193,0.9946776495112154,0.10049171053515873,0.7129146744276186
